,Filename,Intersection Found,,,,,,,,
1,Sample_Capstone_Output_Data_1.txt,No,,,,,,,,
2,Sample_Capstone_Output_Data_2.txt,No,,,,,,,,
3,Sample_Capstone_Output_Data_3.txt,No,,,,,,,,
4,Sample_Capstone_Output_Data_4.txt,No,,,,,,,,
5,Sample_Capstone_Output_Data_5.txt,No,,,,,,,,
6,Sample_Capstone_Output_Data_6.txt,No,,,,,,,,
7,Sample_Capstone_Output_Data_7.txt,No,,,,,,,,
8,Sample_Capstone_Output_Data_8.txt,No,,,,,,,,
9,Sample_Capstone_Output_Data_9.txt,No,,,,,,,,
10,Sample_Capstone_Output_Data_10.txt,No,,,,,,,,
11,Sample_Capstone_Output_Data_11.txt,No,,,,,,,,
12,Sample_Capstone_Output_Data_12.txt,No,,,,,,,,
13,Sample_Capstone_Output_Data_13.txt,No,,,,,,,,
14,Sample_Capstone_Output_Data_14.txt,No,,,,,,,,
15,Sample_Capstone_Output_Data_15.txt,No,,,,,,,,
16,Sample_Capstone_Output_Data_16.txt,No,,,,,,,,
17,Sample_Capstone_Output_Data_17.txt,No,,,,,,,,
18,Sample_Capstone_Output_Data_18.txt,No,,,,,,,,
19,Sample_Capstone_Output_Data_19.txt,No,,,,,,,,
20,Sample_Capstone_Output_Data_20.txt,No,,,,,,,,
21,Sample_Capstone_Output_Data_21.txt,No,,,,,,,,
22,Sample_Capstone_Output_Data_22.txt,No,,,,,,,,
23,Sample_Capstone_Output_Data_23.txt,No,,,,,,,,
24,Sample_Capstone_Output_Data_24.txt,No,,,,,,,,
25,Sample_Capstone_Output_Data_25.txt,No,,,,,,,,
26,Sample_Capstone_Output_Data_26.txt,No,,,,,,,,
27,Sample_Capstone_Output_Data_27.txt,No,,,,,,,,
28,Sample_Capstone_Output_Data_28.txt,No,,,,,,,,
29,Sample_Capstone_Output_Data_29.txt,No,,,,,,,,
30,Sample_Capstone_Output_Data_30.txt,No,,,,,,,,
31,Sample_Capstone_Output_Data_31.txt,No,,,,,,,,
32,Sample_Capstone_Output_Data_32.txt,No,,,,,,,,
33,Sample_Capstone_Output_Data_33.txt,No,,,,,,,,
34,Sample_Capstone_Output_Data_34.txt,No,,,,,,,,
35,Sample_Capstone_Output_Data_35.txt,No,,,,,,,,
36,Sample_Capstone_Output_Data_36.txt,No,,,,,,,,
37,Sample_Capstone_Output_Data_37.txt,No,,,,,,,,
38,Sample_Capstone_Output_Data_38.txt,No,,,,,,,,
39,Sample_Capstone_Output_Data_39.txt,No,,,,,,,,
40,Sample_Capstone_Output_Data_40.txt,No,,,,,,,,
41,Sample_Capstone_Output_Data_41.txt,No,,,,,,,,
42,Sample_Capstone_Output_Data_42.txt,No,,,,,,,,
43,Sample_Capstone_Output_Data_43.txt,No,,,,,,,,
44,Sample_Capstone_Output_Data_44.txt,No,,,,,,,,
45,Sample_Capstone_Output_Data_45.txt,No,,,,,,,,
46,Sample_Capstone_Output_Data_46.txt,No,,,,,,,,
47,Sample_Capstone_Output_Data_47.txt,No,,,,,,,,
48,Sample_Capstone_Output_Data_48.txt,No,,,,,,,,
49,Sample_Capstone_Output_Data_49.txt,No,,,,,,,,
50,Sample_Capstone_Output_Data_50.txt,No,,,,,,,,
51,Sample_Capstone_Output_Data_51.txt,No,,,,,,,,
52,Sample_Capstone_Output_Data_52.txt,No,,,,,,,,
53,Sample_Capstone_Output_Data_53.txt,No,,,,,,,,
54,Sample_Capstone_Output_Data_54.txt,No,,,,,,,,
55,Sample_Capstone_Output_Data_55.txt,No,,,,,,,,
56,Sample_Capstone_Output_Data_56.txt,No,,,,,,,,
57,Sample_Capstone_Output_Data_57.txt,No,,,,,,,,
58,Sample_Capstone_Output_Data_58.txt,No,,,,,,,,
59,Sample_Capstone_Output_Data_59.txt,No,,,,,,,,
60,Sample_Capstone_Output_Data_60.txt,No,,,,,,,,
61,Sample_Capstone_Output_Data_61.txt,No,,,,,,,,
62,Sample_Capstone_Output_Data_62.txt,No,,,,,,,,
63,Sample_Capstone_Output_Data_63.txt,No,,,,,,,,
64,Sample_Capstone_Output_Data_64.txt,No,,,,,,,,
65,Sample_Capstone_Output_Data_65.txt,No,,,,,,,,
66,Sample_Capstone_Output_Data_66.txt,No,,,,,,,,
67,Sample_Capstone_Output_Data_67.txt,No,,,,,,,,
68,Sample_Capstone_Output_Data_68.txt,No,,,,,,,,
69,Sample_Capstone_Output_Data_69.txt,No,,,,,,,,
70,Sample_Capstone_Output_Data_70.txt,No,,,,,,,,
71,Sample_Capstone_Output_Data_71.txt,No,,,,,,,,
72,Sample_Capstone_Output_Data_72.txt,No,,,,,,,,
73,Sample_Capstone_Output_Data_73.txt,No,,,,,,,,
74,Sample_Capstone_Output_Data_74.txt,No,,,,,,,,
75,Sample_Capstone_Output_Data_75.txt,No,,,,,,,,
76,Sample_Capstone_Output_Data_76.txt,No,,,,,,,,
77,Sample_Capstone_Output_Data_77.txt,No,,,,,,,,
78,Sample_Capstone_Output_Data_78.txt,No,,,,,,,,
